County,State,CountyFIPS,Diabetes_Number,Obesity_Number,Physical_Inactivity_Number,sex and age_total population_65 years and over_sex ratio (males per 100 females),race_total population,race_total population_one race,race_total population_two or more races,race_total population_one race_1,race_total population_one race_white,race_total population_one race_black or african american,race_total population_one race_american indian and alaska native,race_total population_one race_american indian and alaska native_cherokee tribal grouping,race_total population_one race_american indian and alaska native_chippewa tribal grouping,race_total population_one race_american indian and alaska native_navajo tribal grouping,race_total population_one race_american indian and alaska native_sioux tribal grouping,race_total population_one race_asian,race_total population_one race_asian_asian indian,race_total population_one race_asian_chinese,race_total population_one race_asian_filipino,race_total population_one race_asian_japanese,race_total population_one race_asian_korean,race_total population_one race_asian_vietnamese,race_total population_one race_asian_other asian,race_total population_one race_native hawaiian and other pacific islander,race_total population_one race_native hawaiian and other pacific islander_native hawaiian,race_total population_one race_native hawaiian and other pacific islander_guamanian or chamorro,race_total population_one race_native hawaiian and other pacific islander_samoan,race_total population_one race_native hawaiian and other pacific islander_other pacific islander,race_total population_one race_some other race,race_total population_two or more races_1,race_total population_two or more races_white and black or african american,race_total population_two or more races_white and american indian and alaska native,race_total population_two or more races_white and asian,race_total population_two or more races_black or african american and american indian and alaska native,race alone or in combination with one or more other races_total population,race alone or in combination with one or more other races_total population_white,race alone or in combination with one or more other races_total population_black or african american,race alone or in combination with one or more other races_total population_american indian and alaska native,race alone or in combination with one or more other races_total population_asian,race alone or in combination with one or more other races_total population_native hawaiian and other pacific islander,race alone or in combination with one or more other races_total population_some other race,hispanic or latino and race_total population,hispanic or latino and race_total population_hispanic or latino (of any race),hispanic or latino and race_total population_hispanic or latino (of any race)_mexican,hispanic or latino and race_total population_hispanic or latino (of any race)_puerto rican,hispanic or latino and race_total population_hispanic or latino (of any race)_cuban,hispanic or latino and race_total population_hispanic or latino (of any race)_other hispanic or latino,hispanic or latino and race_total population_not hispanic or latino,hispanic or latino and race_total population_not hispanic or latino_white alone,hispanic or latino and race_total population_not hispanic or latino_black or african american alone,hispanic or latino and race_total population_not hispanic or latino_american indian and alaska native alone,hispanic or latino and race_total population_not hispanic or latino_asian alone,hispanic or latino and race_total population_not hispanic or latino_native hawaiian and other pacific islander alone,hispanic or latino and race_total population_not hispanic or latino_some other race alone,hispanic or latino and race_total population_not hispanic or latino_two or more races,hispanic or latino and race_total population_not hispanic or latino_two or more races_two races including some other race,hispanic or latino and race_total population_not hispanic or latino_two or more races_two races excluding some other race -  and three or more races,total housing units,citizen -  voting age population_citizen -  18 and over population,citizen -  voting age population_citizen -  18 and over population_male,citizen -  voting age population_citizen -  18 and over population_female,sex and age_total population,sex and age_total population_male,sex and age_total population_female,sex and age_total population_sex ratio (males per 100 females),sex and age_total population_under 5 years,sex and age_total population_5 to 9 years,sex and age_total population_10 to 14 years,sex and age_total population_15 to 19 years,sex and age_total population_20 to 24 years,sex and age_total population_25 to 34 years,sex and age_total population_35 to 44 years,sex and age_total population_45 to 54 years,sex and age_total population_55 to 59 years,sex and age_total population_60 to 64 years,sex and age_total population_65 to 74 years,sex and age_total population_75 to 84 years,sex and age_total population_85 years and over,sex and age_total population_median age (years),sex and age_total population_under 18 years,sex and age_total population_16 years and over,sex and age_total population_18 years and over,sex and age_total population_21 years and over,sex and age_total population_62 years and over,sex and age_total population_65 years and over,sex and age_total population_18 years and over_1,sex and age_total population_18 years and over_male,sex and age_total population_18 years and over_female,sex and age_total population_18 years and over_sex ratio (males per 100 females),sex and age_total population_65 years and over_1,sex and age_total population_65 years and over_male,sex and age_total population_65 years and over_female
Warren County,New York,36113,4931,15457,11162,84.2,64480,63699,781,63699,61797,852,168,16,0,0,0,677,173,188,100,21,116,56,23,32,0,0,32,0,173,781,318,225,59,18,64480,62506,1281,449,758,46,264,64480,1589,411,714,27,437,62891,60623,816,166,671,32,24,559,0,559,39760,51700,25084,26616,64480,31698,32782,96.7,2836,3343,3424,3534,3553,7430,6963,9562,5117,5225,7908,3750,1835,46.4,11956,54214,52524,50620,16800,13493,52524,25498,27026,94.3,13493,6167,7326
Washington County,New York,36115,6530,16977,12609,84.7,61828,60919,909,60919,57974,2025,197,21,0,0,45,347,96,134,60,14,6,2,35,0,0,0,0,0,376,909,357,166,80,15,61828,58835,2588,491,443,95,468,61828,1642,59,686,132,765,60186,57178,1706,180,347,0,48,727,36,691,29461,49469,25588,23881,61828,32002,29826,107.3,2935,3561,3233,3496,3764,7291,7476,9338,5001,4445,6562,3524,1202,44,11910,51390,49918,47922,14018,11288,49918,25844,24074,107.4,11288,5175,6113
Wayne County,New York,36117,9131,25725,21156,86.3,90856,88946,1910,88946,84701,2631,144,16,0,0,0,606,50,87,91,37,38,110,193,78,78,0,0,0,786,1910,903,407,169,14,90856,86575,3589,620,888,203,1044,90856,3878,987,1842,119,930,86978,81906,2594,117,594,78,44,1645,37,1608,41637,70347,34572,35775,90856,44971,45885,98,4982,5304,5851,5575,5316,9861,10149,13716,7382,6617,9616,4475,2012,43.6,19705,73471,71151,68148,19979,16103,71151,35082,36069,97.3,16103,7460,8643
Westchester County,New York,36119,57694,157465,141370,73.0,968815,939018,29797,939018,630592,142443,4059,84,0,16,15,57410,18763,14198,7209,4720,5420,675,6425,262,128,80,0,54,104252,29797,8163,1393,6783,1235,968815,653408,157404,8624,66797,1125,113513,968815,235243,40197,48463,5272,141311,733572,523474,130640,1464,56806,182,4203,16803,1282,15521,373942,646416,302826,343590,968815,468898,499917,93.8,54910,58160,64049,65700,60038,110298,123911,143584,69516,59747,84519,48318,26065,40.8,217100,778474,751715,713806,193937,158902,751715,356862,394853,90.4,158902,67041,91861
Wyoming County,New York,36121,3782,12029,8321,89.0,40565,39836,729,39836,37162,1837,228,29,0,0,0,155,0,62,5,0,9,8,71,0,0,0,0,0,454,729,341,206,64,20,40565,37814,2231,462,273,14,527,40565,1320,513,488,17,302,39245,36471,1710,219,155,0,0,690,26,664,18156,31980,17307,14673,40565,21734,18831,115.4,2071,2176,2336,2320,2518,5519,4764,6132,3059,2916,4077,1938,739,41.9,8064,33373,32501,31291,8458,6754,32501,17665,14836,119.1,6754,3181,3573
Yates County,New York,36123,2618,5877,5361,87.5,25009,24700,309,24700,24061,226,53,0,0,0,0,189,4,83,42,3,16,41,0,7,0,0,6,1,164,309,117,96,24,25,25009,24339,386,180,234,7,190,25009,549,143,332,15,59,24460,23686,207,16,189,7,55,300,21,279,13795,19170,9126,10044,25009,11999,13010,92.2,1511,1479,1650,1831,1941,2590,2376,2993,1902,1861,2825,1512,538,41.3,5650,20044,19359,17972,5919,4875,19359,9164,10195,89.9,4875,2275,2600
Alamance County,North Carolina,37001,12861,45182,28033,72.2,160576,156496,4080,156496,112786,30742,462,102,9,0,0,2509,577,505,147,42,215,471,552,64,39,0,4,21,9933,4080,1649,669,350,264,160576,116362,33216,1808,2961,132,10586,160576,19905,14018,1540,352,3995,140671,103713,30569,409,2478,64,266,3172,44,3128,69749,115973,53380,62593,160576,76259,84317,90.4,9347,10049,10372,12388,10389,19643,18983,22402,10647,10049,14889,7801,3617,39.5,36203,128498,124373,115885,32159,26307,124373,57685,66688,86.5,26307,11027,15280
Alexander County,North Carolina,37003,4906,11174,8193,81.5,37119,36613,506,36613,32640,2105,150,18,0,0,0,402,0,0,4,0,0,0,398,31,0,0,0,31,1285,506,238,80,34,0,37119,33118,2381,236,436,153,1317,37119,1723,1547,36,0,140,35396,32245,2105,150,402,31,0,463,6,457,16399,28629,14685,13944,37119,18942,18177,104.2,1822,1989,2337,2230,2015,4321,4842,5348,2735,2391,4145,2152,792,43.4,7618,30473,29501,28288,8449,7089,29501,15129,14372,105.3,7089,3183,3906
Alleghany County,North Carolina,37005,1133,2678,2181,86.7,10973,10890,83,10890,10346,266,37,0,0,0,0,31,0,0,11,10,0,5,5,1,1,0,0,0,209,83,29,0,16,6,10973,10423,309,51,47,1,233,10973,1054,765,51,95,143,9919,9548,255,37,26,1,0,52,0,52,8160,8638,4165,4473,10973,5386,5587,96.4,441,477,642,678,492,832,1313,1470,869,957,1618,894,290,49.5,1943,9319,9030,8630,3386,2802,9030,4470,4560,98,2802,1301,1501
Anson County,North Carolina,37007,2592,7943,7243,75.7,25306,25022,284,25022,12083,12333,96,16,0,0,0,335,62,15,0,0,0,15,243,9,9,0,0,0,166,284,105,44,0,89,25306,12278,12538,240,335,9,201,25306,999,812,37,55,95,24307,11288,12333,86,335,9,7,249,0,249,11594,19935,10503,9432,25306,13285,12021,110.5,1196,1458,1410,1400,1750,3624,3150,3539,1759,1677,2691,1167,485,40.5,4936,20986,20370,19622,5305,4343,20370,10833,9537,113.6,4343,1871,2472
Ashe County,North Carolina,37009,2908,5507,6657,83.4,26786,26373,413,26373,25468,199,97,8,0,0,0,120,0,0,54,0,23,43,0,19,16,3,0,0,470,413,94,108,3,2,26786,25846,303,221,168,61,632,26786,1336,1052,96,108,80,25450,24800,199,97,114,19,0,221,9,212,17649,21275,10241,11034,26786,13168,13618,96.7,1174,1184,1611,1349,1236,2724,3139,3685,1999,2258,3782,1913,732,47.7,4893,22515,21893,21170,7872,6427,21893,10637,11256,94.5,6427,2923,3504
Avery County,North Carolina,37011,1668,3487,4196,85.6,17501,17274,227,17274,16011,782,237,89,0,0,22,149,15,45,24,1,9,8,47,0,0,0,0,0,95,227,34,77,16,0,17501,16185,867,322,180,31,172,17501,896,572,79,31,214,16605,15298,770,237,149,0,5,146,4,142,14166,14402,7937,6465,17501,9488,8013,118.4,643,649,861,1069,1155,2089,2416,2494,1140,1285,2163,1133,404,44.4,2707,15221,14794,13990,4408,3700,14794,8163,6631,123.1,3700,1707,1993
Beaufort County,North Carolina,37013,3718,16260,11317,79.5,47243,46248,995,46248,33751,12051,110,101,0,0,0,38,1,20,0,0,0,0,17,0,0,0,0,0,298,995,488,158,28,13,47243,34634,12600,381,149,64,528,47243,3609,3019,174,67,349,43634,31094,11826,110,38,0,17,549,14,535,25930,36615,17217,19398,47243,22709,24534,92.6,2292,2590,3068,2812,2769,4488,5131,6029,3528,3728,6508,3120,1180,45.7,9759,38636,37484,35889,13189,10808,37484,17560,19924,88.1,10808,4788,6020
Bertie County,North Carolina,37015,3448,6991,4845,71.7,19644,19345,299,19345,6841,11998,232,4,0,0,0,125,0,51,51,0,0,3,20,1,0,0,1,0,148,299,159,22,9,24,19644,7107,12220,326,146,1,185,19644,408,224,47,57,80,19236,6735,11899,206,125,1,7,263,37,226,9841,16024,8047,7977,19644,9895,9749,101.5,844,1035,1010,990,1230,2519,2148,2574,1648,1521,2265,1295,565,45.2,3508,16533,16136,15583,4993,4125,16136,8103,8033,100.9,4125,1722,2403
Bladen County,North Carolina,37017,5766,12668,7935,76.9,33778,33403,375,33403,19300,11827,842,128,0,0,11,35,0,14,21,0,0,0,0,0,0,0,0,0,1399,375,85,77,16,97,33778,19578,12009,1016,51,0,1499,33778,2523,2183,149,0,191,31255,18466,11648,812,35,0,25,269,13,256,17877,25522,11818,13704,33778,16054,17724,90.6,1795,1908,2139,2213,1574,3741,4010,4401,2389,2856,4118,1922,712,43.6,7125,27443,26653,25468,8171,6752,26653,12466,14187,87.9,6752,2935,3817
Brunswick County,North Carolina,37019,14681,33327,26563,93.1,126860,124146,2714,124146,106198,13096,791,186,0,0,0,779,114,213,107,96,149,41,59,36,0,36,0,0,3246,2714,989,731,335,52,126860,108668,14539,1816,1313,68,3426,126860,6028,3825,707,340,1156,120832,103713,12966,701,779,36,82,2555,90,2465,86968,103762,49146,54616,126860,61281,65579,93.4,5305,5697,6070,5502,5178,11716,12629,14930,10163,12488,25471,9325,2386,52.8,20621,108647,106239,103275,44925,37182,106239,50469,55770,90.5,37182,17929,19253
Buncombe County,North Carolina,37021,17302,49188,35686,76.4,254474,248956,5518,248956,225981,16095,1014,256,104,0,43,3147,767,1116,424,217,256,97,270,341,40,42,12,247,2378,5518,2076,1340,892,181,254474,231168,18591,2752,4261,531,2996,254474,16529,9644,1279,509,5097,237945,212773,15745,962,3085,341,195,4844,164,4680,121591,198618,93299,105319,254474,122297,132177,92.5,12868,13207,13875,13767,14645,34966,33786,33353,17457,18258,28200,13863,6229,42.1,48313,211459,206161,198002,59435,48292,206161,97295,108866,89.4,48292,20919,27373
Burke County,North Carolina,37023,6069,25078,17338,78.3,89712,88173,1539,88173,75948,5794,510,115,0,49,11,3256,121,138,136,31,110,16,2704,139,80,56,0,3,2526,1539,754,212,187,16,89712,77407,6785,808,3689,178,2621,89712,5342,2212,382,141,2607,84370,73269,5757,374,3251,93,148,1478,18,1460,41092,70327,34596,35731,89712,44798,44914,99.7,4274,4576,5091,6188,5309,10242,10607,12933,6671,6625,9928,5171,2097,43.6,17402,74592,72310,68715,21142,17196,72310,35690,36620,97.5,17196,7554,9642
Cabarrus County,North Carolina,37025,17892,49944,39474,77.0,201448,196805,4643,196805,144192,35634,671,187,70,0,0,6837,4080,914,278,59,201,784,521,114,42,13,43,16,9357,4643,1596,533,758,126,201448,147997,38176,1581,7892,304,10486,201448,20560,11336,3488,892,4844,180888,134629,34633,644,6837,101,424,3620,311,3309,78093,140011,66387,73624,201448,98094,103354,94.9,12936,13806,16397,13924,11330,24706,29439,29734,12784,10643,15704,7244,2801,37.9,52386,155253,149062,141942,32133,25749,149062,71233,77829,91.5,25749,11200,14549
Caldwell County,North Carolina,37027,10520,24332,18900,80.7,81779,80591,1188,80591,72907,3990,317,50,0,12,0,461,37,72,135,19,108,16,74,41,18,23,0,0,2875,1188,556,168,135,2,81779,74028,4633,539,649,75,3116,81779,4315,1484,395,58,2378,77464,71612,3919,317,461,41,167,947,0,947,37950,63099,30841,32258,81779,40354,41425,97.4,4137,4716,4848,4839,4483,9064,9763,12496,6486,5481,9309,4610,1547,44.1,16870,66952,64909,62007,18811,15466,64909,31813,33096,96.1,15466,6905,8561
Camden County,North Carolina,37029,824,2824,1840,88.6,10447,10306,141,10306,8614,1462,20,8,0,0,0,186,0,0,23,7,0,75,81,0,0,0,0,0,24,141,17,32,78,0,10447,8741,1479,66,278,0,24,10447,296,105,150,0,41,10151,8400,1462,8,186,0,0,95,0,95,4228,7869,3942,3927,10447,5263,5184,101.5,492,681,882,618,515,1046,1398,1685,699,649,1074,538,170,40.7,2491,8185,7956,7619,2135,1782,7956,3954,4002,98.8,1782,837,945
Carteret County,North Carolina,37031,7889,18553,13111,87.3,68920,67149,1771,67149,61988,3880,192,10,0,0,3,781,68,150,186,155,65,63,94,40,32,0,0,8,268,1771,674,455,297,49,68920,63621,4664,833,1186,110,428,68920,2930,1847,327,114,642,65990,59524,3859,177,781,40,54,1555,13,1542,49911,55387,26833,28554,68920,33839,35081,96.5,2964,3500,3621,3597,3283,7086,7752,9520,5684,5676,9961,4708,1568,47.9,12414,58076,56506,54609,19624,16237,56506,27358,29148,93.9,16237,7569,8668
Caswell County,North Carolina,37033,2680,4093,2892,79.2,22746,22507,239,22507,14378,7503,51,0,0,0,0,151,48,14,68,0,0,18,3,47,31,16,0,0,377,239,126,63,0,36,22746,14567,7679,150,151,47,391,22746,867,770,49,23,25,21879,13913,7492,51,151,47,0,225,0,225,10778,18072,9048,9024,22746,11393,11353,100.4,1058,1108,1368,1231,1309,2411,2689,3296,2008,1678,2782,1214,594,45.6,4311,18881,18435,17734,5660,4590,18435,9282,9153,101.4,4590,2028,2562
Catawba County,North Carolina,37035,15190,37900,31646,78.9,156729,153296,3433,153296,123876,12772,430,38,4,0,0,6611,372,253,112,105,143,514,5112,0,0,0,0,0,9607,3433,2175,424,298,94,156729,126918,15252,1026,6997,203,9818,156729,14810,9720,1246,103,3741,141919,118864,12479,384,6550,0,554,3088,91,2997,68693,115407,55687,59720,156729,76703,80026,95.8,8880,9313,10754,10283,9331,17910,19235,22848,11561,9875,16138,8045,2556,41.4,35357,125800,121372,115435,32201,26739,121372,58563,62809,93.2,26739,11794,14945
Chatham County,North Carolina,37037,6351,14639,10310,80.0,69791,67807,1984,67807,56190,8073,159,0,0,0,0,1083,102,473,156,50,83,147,72,30,17,13,0,0,2272,1984,676,301,374,99,69791,58034,9094,780,1507,87,2529,69791,8626,5668,352,116,2490,61165,49922,7909,144,1083,30,384,1693,10,1683,31555,51871,24518,27353,69791,33477,36314,92.2,3453,4175,4198,3696,3208,6219,8224,9853,5440,5019,9507,4437,2362,46.7,14350,57251,55441,53651,19076,16306,55441,26289,29152,90.2,16306,7248,9058
Cherokee County,North Carolina,37039,2938,7094,6861,89.7,27668,27067,601,27067,25890,364,430,287,0,0,0,193,12,24,4,0,80,72,1,0,0,0,0,0,190,601,171,354,17,14,27668,26466,549,809,221,18,206,27668,846,432,242,54,118,26822,25251,364,390,193,0,39,585,0,585,18104,22595,10890,11705,27668,13583,14085,96.4,1129,1232,1486,1470,1120,2333,2914,3520,2070,2577,4817,2285,715,50.9,4771,23432,22897,22223,9376,7817,22897,11086,11811,93.9,7817,3696,4121
Chowan County,North Carolina,37041,1852,4903,2816,76.6,14205,13969,236,13969,8606,4839,62,44,0,0,0,73,0,0,0,0,0,0,73,3,3,0,0,0,386,236,169,7,0,13,14205,8829,5046,107,73,3,408,14205,515,414,28,22,51,13690,8495,4834,62,0,3,82,214,0,214,7301,11146,5151,5995,14205,6653,7552,88.1,664,565,1029,930,512,1766,1670,1525,987,1235,1890,914,518,44.7,3001,11660,11204,10914,4128,3322,11204,5202,6002,86.7,3322,1441,1881
Clay County,North Carolina,37043,558,2322,2782,85.1,10813,10771,42,10771,10464,226,36,0,0,0,0,20,2,0,0,0,0,18,0,16,0,16,0,0,9,42,20,20,0,0,10813,10506,246,56,20,18,9,10813,340,295,17,5,23,10473,10133,226,36,20,16,0,42,0,42,7309,8704,4099,4605,10813,5125,5688,90.1,401,719,610,322,463,1005,1059,1218,805,1039,1927,955,290,52,1889,9044,8924,8646,3789,3172,8924,4197,4727,88.8,3172,1458,1714
Cleveland County,North Carolina,37045,10753,27056,20858,76.4,97159,95815,1344,95815,72778,20244,307,80,0,0,0,988,226,74,191,40,31,0,426,23,23,0,0,0,1475,1344,787,168,100,13,97159,73977,21233,545,1189,54,1564,97159,3317,1588,679,381,669,93842,70967,20205,289,988,0,226,1167,19,1148,43579,74468,35211,39257,97159,46856,50303,93.1,5389,5945,6189,6633,6545,10655,11059,13916,6701,6709,10433,5218,1767,41.9,21452,78454,75707,71707,21223,17418,75707,35872,39835,90.1,17418,7544,9874
Columbus County,North Carolina,37047,8220,19309,13560,73.8,56293,55753,540,55753,34898,17396,2114,110,0,0,30,248,0,8,132,60,11,22,15,9,0,2,7,0,1088,540,167,172,59,60,56293,35327,17695,2369,342,18,1113,56293,2941,2565,132,68,176,53352,33397,17134,1874,245,9,163,530,25,505,26250,43010,21206,21804,56293,27981,28312,98.8,2819,3489,3596,3555,3458,6772,6581,7475,4000,3756,6486,3313,993,42,12179,45503,44114,42158,12906,10792,44114,21753,22361,97.3,10792,4583,6209
Craven County,North Carolina,37049,10138,23376,15961,80.2,103082,100530,2552,100530,72467,22362,799,68,0,0,22,2848,0,84,379,106,178,232,1869,99,37,62,0,0,1955,2552,940,286,530,208,103082,74566,23695,1412,3744,364,2087,103082,7404,4788,1399,172,1045,95678,67962,21871,535,2828,99,68,2315,0,2315,46911,78104,39563,38541,103082,52246,50836,102.8,6684,6445,5980,6304,10213,13810,11334,10936,6165,6668,10699,5635,2209,36.6,22768,82691,80314,75563,22638,18543,80314,40719,39595,102.8,18543,8252,10291
Cumberland County,North Carolina,37051,28631,76539,58596,72.7,332106,312741,19365,312741,167727,122504,4626,501,133,78,139,8350,1223,839,1364,561,2187,1213,963,931,146,497,115,173,8603,19365,7201,2783,2566,1532,332106,183077,134209,10231,13333,2319,10265,332106,37826,13211,13399,817,10399,294280,146144,119158,4104,7992,820,632,15430,288,15142,145839,241269,119921,121348,332106,165152,166954,98.9,25422,22919,21363,22889,34692,56934,38887,37095,18774,15831,22189,11319,3792,31.2,82520,258085,249586,232426,46130,37300,249586,123319,126267,97.7,37300,15699,21601
Currituck County,North Carolina,37053,2118,5876,5073,87.8,25796,25215,581,25215,23258,1473,132,85,16,0,18,94,0,0,48,3,0,16,27,6,6,0,0,0,252,581,224,141,112,27,25796,23774,1758,328,238,19,292,25796,981,426,355,0,200,24815,22492,1452,132,94,6,143,496,6,490,15557,19843,9714,10129,25796,12822,12974,98.8,1400,1933,1420,1523,1242,2860,3271,4124,2136,1891,2594,1024,378,42.9,5742,20662,20054,19324,4981,3996,20054,9884,10170,97.2,3996,1868,2128
Dare County,North Carolina,37055,3266,7955,6344,92.5,35741,34791,950,34791,33092,779,107,38,0,3,13,228,62,72,0,17,2,46,29,0,0,0,0,0,585,950,403,215,138,81,35741,33943,1294,416,366,0,685,35741,2567,1091,130,181,1165,33174,31294,671,79,228,0,87,815,18,797,34515,27770,13645,14125,35741,17614,18127,97.2,1677,1987,2105,1761,1561,3720,4543,4987,2942,3277,4645,2028,508,46.1,6909,29589,28832,27921,9163,7181,28832,14167,14665,96.6,7181,3451,3730
Davidson County,North Carolina,37057,20445,44979,32611,80.5,164664,161856,2808,161856,141056,14970,499,150,0,0,0,2501,96,208,236,13,21,134,1793,18,8,0,0,10,2812,2808,1020,816,238,104,164664,143308,16569,1716,3163,93,2960,164664,11516,8244,719,250,2303,153148,132548,14843,482,2462,18,155,2640,22,2618,74311,122830,59193,63637,164664,80508,84156,95.7,8988,10315,10719,10252,9167,18493,20125,24810,12600,10336,17041,9348,2470,42.3,36830,132344,127834,122411,35113,28859,127834,61725,66109,93.4,28859,12870,15989
Davie County,North Carolina,37059,3857,12205,8036,81.9,41991,41089,902,41089,37492,2305,156,84,0,0,13,292,24,155,54,21,0,38,0,0,0,0,0,0,844,902,242,492,74,36,41991,38358,2603,704,366,9,873,41991,2796,2039,188,61,508,39195,35562,2305,156,292,0,30,850,0,850,18582,31801,15139,16662,41991,20374,21617,94.2,1981,2512,2756,2672,2162,3957,4948,6486,3096,3108,4743,2778,792,45,9038,34277,32953,31688,10105,8313,32953,15765,17188,91.7,8313,3743,4570
Duplin County,North Carolina,37061,7080,15486,14915,76.5,59062,58092,970,58092,41673,14450,208,11,0,0,0,164,63,0,44,46,7,4,0,46,0,14,0,32,1551,970,354,276,119,20,59062,42470,15022,539,448,47,1554,59062,12909,7514,414,42,4939,46153,30570,14318,206,164,32,25,838,0,838,25876,39263,18338,20925,59062,28780,30282,95,3721,4119,4043,3756,3487,6679,7141,7716,3978,4193,5989,2956,1284,40.6,14388,46257,44674,42804,12584,10229,44674,21341,23333,91.5,10229,4435,5794
Durham County,North Carolina,37063,16939,66735,43475,72.0,306457,297845,8612,297845,157366,113511,808,184,25,4,10,15063,4706,4344,1100,388,1557,1555,1413,117,50,25,23,19,10980,8612,2760,972,1813,774,306457,164102,118335,2908,17829,383,12211,306457,41189,20590,3200,793,16606,265268,129434,111859,726,14981,117,774,7377,198,7179,133429,213778,98443,115335,306457,146535,159922,91.6,20531,18479,16850,19539,21601,55222,43798,38020,18137,17224,22683,9906,4467,35.2,65637,247146,240820,226761,47189,37056,240820,113177,127643,88.7,37056,15507,21549
Edgecombe County,North Carolina,37065,7703,16005,12488,70.7,53332,52328,1004,52328,20527,30549,96,9,0,0,0,55,0,34,0,0,11,10,0,57,0,0,0,57,1044,1004,581,36,38,97,53332,21293,31398,291,112,71,1217,53332,2358,1485,129,0,744,50974,19394,30485,95,55,57,34,854,23,831,24945,40298,18055,22243,53332,24856,28476,87.3,3142,3015,3902,3320,3373,6265,5790,6772,4076,3888,5760,3041,988,41,12202,42632,41130,39267,12231,9789,41130,18504,22626,81.8,9789,4055,5734
Forsyth County,North Carolina,37067,32018,92718,66634,73.4,371573,362790,8783,362790,245930,97010,1141,297,14,4,0,8403,1825,2360,1435,168,640,588,1387,327,141,122,0,64,9979,8783,3399,1119,1224,738,371573,253122,102507,3790,10230,880,11120,371573,46913,29978,4230,916,11789,324660,211844,95294,907,8340,165,1389,6721,237,6484,163382,265476,122164,143312,371573,176337,195236,90.3,22739,24798,24398,26467,24699,48103,45525,50427,25864,22021,32946,16817,6769,38.3,86795,294840,284778,267495,69356,56532,284778,132003,152775,86.4,56532,23930,32602
Franklin County,North Carolina,37069,5890,20461,13481,78.8,64902,63343,1559,63343,43927,16410,762,68,0,0,0,365,73,76,80,0,15,70,51,150,150,0,0,0,1729,1559,487,257,90,104,64902,45192,17379,1393,663,165,2052,64902,5276,3950,414,70,842,59626,41244,16296,293,360,1,286,1146,147,999,28012,48112,23423,24689,64902,32281,32621,99,3635,3765,4547,4132,4009,7337,8313,9448,4892,4407,6413,3078,926,41.3,14574,52103,50328,48105,13113,10417,50328,24753,25575,96.8,10417,4591,5826
Gaston County,North Carolina,37071,18165,47296,46405,73.0,216585,211267,5318,211267,166636,34616,758,110,0,0,0,3358,749,292,533,93,271,601,819,147,126,0,0,21,5752,5318,2387,938,530,375,216585,171329,38171,2574,4213,264,6133,216585,14642,8260,1605,478,4299,201943,158164,34288,678,3332,55,734,4692,25,4667,91779,160890,76054,84836,216585,104371,112214,93,12918,13657,14128,13698,12976,27309,28108,31689,14626,13719,20234,9459,4064,40.1,49469,173080,167116,159820,41899,33757,167116,79259,87857,90.2,33757,14246,19511
Gates County,North Carolina,37073,1414,4370,3199,85.0,11563,11383,180,11383,7319,3891,108,40,0,0,0,55,0,38,0,0,0,0,17,0,0,0,0,0,10,180,67,11,0,12,11563,7468,4047,131,126,32,10,11563,41,39,2,0,0,11522,7288,3891,108,55,0,0,180,0,180,5336,9142,4461,4681,11563,5627,5936,94.8,476,717,738,711,576,1205,1252,1804,1079,792,1327,636,250,45.7,2398,9468,9165,8803,2678,2213,9165,4467,4698,95.1,2213,1017,1196
Graham County,North Carolina,37075,460,2683,1610,82.2,8557,8469,88,8469,7514,13,898,740,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,1,43,88,0,88,0,0,8557,7602,13,986,0,1,43,8557,129,89,0,0,40,8428,7428,13,898,0,1,0,88,0,88,6017,6748,3263,3485,8557,4210,4347,96.8,357,519,549,642,448,777,920,1138,592,625,1137,540,313,46,1755,7031,6802,6311,2391,1990,6802,3309,3493,94.7,1990,898,1092
Granville County,North Carolina,37077,5534,16952,14788,79.8,58874,56573,2301,56573,35927,17923,335,74,0,0,22,266,103,50,55,13,24,21,0,0,0,0,0,0,2122,2301,1288,133,116,88,58874,38045,19562,757,475,93,2504,58874,4563,3522,369,26,646,54311,34254,17718,285,266,0,111,1677,57,1620,24069,45207,22841,22366,58874,30046,28828,104.2,2899,3261,3774,3874,3688,6516,7575,9259,4756,3753,5817,2925,777,42.6,12272,48158,46602,44104,11591,9519,46602,23639,22963,102.9,9519,4225,5294
Greene County,North Carolina,37079,2414,4720,4406,76.6,21008,20426,582,20426,12276,7502,104,14,0,0,0,20,0,2,8,0,0,0,10,0,0,0,0,0,524,582,246,83,87,3,21008,12822,7862,204,189,13,587,21008,3116,2772,102,45,197,17892,9863,7393,96,20,0,25,495,32,463,8316,15373,8401,6972,21008,11593,9415,123.1,1068,1235,1298,1269,1196,2843,3043,2784,1661,1416,1896,879,420,41.2,4388,17121,16620,15893,3970,3195,16620,9154,7466,122.6,3195,1386,1809
Guilford County,North Carolina,37081,43413,136585,80683,73.6,523582,510728,12854,510728,292060,176785,2507,290,47,0,16,25680,5202,2723,954,444,1952,5657,8748,287,133,34,62,58,13409,12854,4609,1498,1637,947,523582,302416,184956,6500,28515,1061,15102,523582,40824,25977,3911,1154,9782,482758,266383,175353,1992,25574,195,2019,11242,593,10649,226743,377164,172744,204420,523582,248019,275563,90,31196,32003,34068,39073,38584,71822,65502,70982,34339,30273,44262,21984,9494,37.1,117830,419915,405752,377700,93224,75740,405752,188237,217515,86.5,75740,32123,43617
